Insider,Symbol,Total Amount,Share Price,Num. of Shares,Relation,Date,Num. of Insiders,Transaction
Shoen,UHAL,"$1,673,988.30",$428.13,"3,910",,2020-12-14,3,Purchase
Shoen,UHAL,"$820,236.00",$273.41,"3,000","Large Shareholder, Officer, Director",2020-03-24,3,Purchase
Shoen,UHAL,"$794,043.86",$277.83,"2,858","Large Shareholder, Officer, Director",2020-03-13,3,Purchase
Shoen,UHAL,"$647,753.01",$308.31,"2,101","Large Shareholder, Officer, Director",2020-03-09,3,Purchase
Shoen,UHAL,"$908,697.31",$313.34,"2,900","Large Shareholder, Officer, Director",2020-03-09,3,Purchase
Shoen,UHAL,"$1,035,000.00",$345.00,"3,000","Large Shareholder, Officer, Director",2020-02-20,3,Purchase
Shemesh,CMCT,"$2,418,500.00",$25.00,"96,740","Large Shareholder, Director",2021-01-21,4,Purchase
Shemesh,CMCT,"$2,380,350.00",$25.00,"95,214","Large Shareholder, Director",2020-11-10,4,Purchase
Shemesh,CMCT,"$2,662,950.00",$25.00,"106,518","Large Shareholder, Director",2020-07-08,4,Purchase
Shell,EBC,"$2,000,000.00",$10.00,"200,000",Director,2020-10-14,13,Purchase
Sheft,GSKY,"$3,834,118.70",$3.47,"1,105,220","Large Shareholder, Director",2020-11-13,2,Purchase
Shareholder,KXIN,"$4,213,629.00",$1.00,"4,213,629",Large Shareholder,2020-07-06,1,Purchase
Sharda,SRT,"$1,451,834.28",$7.02,"206,814",Director,2020-11-16,3,Purchase
Sharbaugh,PPD,"$810,000.00",$27.00,"30,000",Officer,2020-02-10,3,Purchase
Shanghai,ONCT,"$2,499,997.75",$2.38,"1,049,317",Large Shareholder,2020-07-21,1,Purchase
Shah,JCOM,"$998,077.96",$74.74,"13,354",,2020-03-12,1,Purchase
Shah,KALA,"$49,999,995.15",$7.89,"6,337,135","Large Shareholder, Director",2020-03-13,3,Purchase
Shah,BDTX,"$2,594,241.00",$19.00,"136,539",Director,2020-02-03,5,Purchase
Shah,BDTX,"$1,478,257.00",$19.00,"77,803",Director,2020-02-03,5,Purchase
Shah,BDTX,"$14,927,502.00",$19.00,"785,658",Director,2020-02-03,5,Purchase
Shah,DSGN,"$500,000.00",$20.00,"25,000","Officer, Director",2021-03-30,5,Purchase
Shah,HUBS,"$1,302,812.25",$124.97,"10,425","Officer, Director",2020-03-13,1,Purchase
Shah,HUBS,"$3,674,102.25",$124.23,"29,575","Officer, Director",2020-03-13,1,Purchase
Shah,SOL,"$1,237,770.00",$1.02,"1,213,500","Large Shareholder, Officer, Director",2020-03-19,1,Purchase
Seybold,GBIO,"$7,600,000.00",$19.00,"400,000",,2020-06-16,7,Purchase
Semler,UONE,"$1,876,520.00",$4.69,"400,000",Large Shareholder,2021-05-28,1,Purchase
Semler,UONE,"$1,812,115.20",$4.04,"448,000",Large Shareholder,2021-05-27,1,Purchase
Semler,UONE,"$657,430.00",$6.57,"100,000",Large Shareholder,2021-01-19,1,Purchase
Semler,UONE,"$1,361,800.00",$6.81,"200,000",Large Shareholder,2021-01-07,1,Purchase
Sellers,MRVI,"$509,976.00",$27.00,"18,888",Officer,2020-11-24,4,Purchase
Selig,SPG,"$692,625.00",$46.18,"15,000",Director,2020-03-18,5,Purchase
Scully,KKR,"$1,251,478.80",$48.13,"26,000",,2021-02-12,2,Purchase
Scully,CB,"$998,400.00",$102.40,"9,750",Director,2020-05-01,1,Purchase
Scully,PPD,"$702,000.00",$27.00,"26,000",Officer,2020-02-10,3,Purchase
Scott,TLIS,"$5,000,000.00",$16.00,"312,500",Director,2021-02-17,3,Purchase
Scott,BBIO,"$1,000,000.00",$62.50,"16,000",Director,2021-02-17,2,Purchase
Scott,NAVB,"$2,017,499.65",$0.85,"2,373,529",Large Shareholder,2020-02-13,1,Purchase
Schwartzberg,LIXT,"$500,004.00",$4.75,"105,264",Large Shareholder,2020-11-30,1,Purchase
Schwab,SCPH,"$4,999,994.10",$8.65,"578,034",Large Shareholder,2020-05-26,3,Purchase
Schulman,SQZ,"$3,738,464.00",$16.00,"233,654","Large Shareholder, Director",2020-11-03,5,Purchase
Schuler,YTEN,"$1,242,150.00",$12.25,"101,400",Large Shareholder,2021-02-03,1,Purchase
Schuler,BDSX,"$4,999,986.00",$18.00,"277,777","Large Shareholder, Director",2020-10-30,3,Purchase
Schuler,YTEN,"$1,552,274.25",$4.25,"365,241",Large Shareholder,2020-08-26,1,Purchase
Schuler,AWH,"$8,000,002.50",$3.50,"2,285,715",,2020-07-01,1,Purchase
Schuler,SLNO,"$3,999,999.30",$1.65,"2,424,242",Large Shareholder,2020-06-26,3,Purchase
Schuler,SLNO,"$8,500,003.05",$1.65,"5,151,517",Large Shareholder,2020-06-26,3,Purchase
Schuler,AXDX,"$941,551.12",$9.86,"95,492","Large Shareholder, Director",2020-06-15,1,Purchase
Schuler,AXDX,"$1,252,307.20",$9.34,"134,080","Large Shareholder, Director",2020-06-12,1,Purchase
Schuler,AXDX,"$1,184,220.00",$9.18,"129,000","Large Shareholder, Director",2020-06-11,1,Purchase
Schuler,SLNO,"$666,806.72",$1.97,"339,083",Large Shareholder,2020-06-10,3,Purchase
Schuler,AXDX,"$984,000.00",$9.84,"100,000","Large Shareholder, Director",2020-06-10,1,Purchase
Schuler,AXDX,"$1,742,596.65",$9.63,"180,955","Large Shareholder, Director",2020-06-09,1,Purchase
Schuler,AXDX,"$9,438,000.00",$8.58,"1,100,000","Large Shareholder, Director",2020-06-05,1,Purchase
Schuler,AXDX,"$842,460.30",$9.46,"89,055","Large Shareholder, Director",2020-05-13,1,Purchase
Schuler,AXDX,"$808,047.90",$9.90,"81,621","Large Shareholder, Director",2020-04-23,1,Purchase
Schuler,AXDX,"$1,493,305.36",$9.47,"157,688","Large Shareholder, Director",2020-04-22,1,Purchase
Schuler,AXDX,"$717,646.50",$9.01,"79,650","Large Shareholder, Director",2020-04-21,1,Purchase
Schuler,AXDX,"$557,955.80",$9.40,"59,357","Large Shareholder, Director",2020-04-20,1,Purchase
Schuler,AXDX,"$996,000.00",$8.30,"120,000","Large Shareholder, Director",2020-03-31,1,Purchase
Schuler,AXDX,"$687,200.00",$8.59,"80,000","Large Shareholder, Director",2020-03-30,1,Purchase
Schuler,AXDX,"$824,880.67",$8.09,"101,963","Large Shareholder, Director",2020-03-27,1,Purchase
Schuler,AXDX,"$1,190,217.48",$8.04,"148,037","Large Shareholder, Director",2020-03-26,1,Purchase
Schuler,AXDX,"$1,155,000.00",$7.70,"150,000","Large Shareholder, Director",2020-03-25,1,Purchase
Schuler,AXDX,"$1,038,000.00",$6.92,"150,000","Large Shareholder, Director",2020-03-24,1,Purchase
Schuler,AXDX,"$1,018,381.00",$5.89,"172,900","Large Shareholder, Director",2020-03-23,1,Purchase
Schuler,BIOL,"$797,837.91",$0.61,"1,307,931",,2020-02-11,1,Purchase
Schroeder,RVMD,"$13,500,000.00",$45.00,"300,000",Director,2021-02-08,2,Purchase
Schroeder,SBTX,"$5,000,016.00",$21.00,"238,096",Director,2020-12-08,5,Purchase
Schroeder,RVMD,"$3,900,000.00",$26.00,"150,000",Director,2020-07-13,2,Purchase
Schroeder,RVMD,"$6,800,000.00",$17.00,"400,000",Director,2020-02-18,2,Purchase
Schottenstein,DBI,"$3,853,426.89",$14.11,"273,099",Director,2021-03-24,2,Purchase
Schottenstein,DBI,"$2,633,853.36",$13.73,"191,832","Large Shareholder, Officer, Director",2021-03-25,2,Purchase
Schottenstein,DBI,"$3,853,426.89",$14.11,"273,099","Large Shareholder, Officer, Director",2021-03-24,2,Purchase
Schottenstein,DBI,"$6,140,818.76",$14.03,"437,692","Large Shareholder, Officer, Director",2021-03-24,2,Purchase
Schottenstein,DBI,"$865,405.37",$3.07,"281,891","Large Shareholder, Officer, Director",2020-03-18,2,Purchase
Schneider,ANTM,"$503,251.00",$296.03,"1,700",Director,2021-02-04,2,Purchase
Schimmel,LIFE,"$1,079,500.00",$4.25,"254,000",Director,2020-02-10,1,Purchase
Schimmel,CLNH,"$2,913,820,000.00","$65,000.00","44,828",Officer,2020-06-30,7,Purchase
Schievelbein,HII,"$626,205.00",$208.74,"3,000",Director,2020-03-02,2,Purchase
Schaufeld,TLS,"$4,342,633.00",$17.00,"255,449",Director,2020-11-19,3,Purchase
Schaufeld,TLS,"$1,109,321,257,217.00","$4,342,633.00","255,449",Director,2020-11-19,3,Purchase
Schaufeld,TLS,"$1,171,691,867,408.00","$4,463,044.00","262,532",,2020-11-19,3,Purchase
Scharf,WFC,"$4,963,370.00",$28.69,"173,000","Officer, Director",2020-03-13,2,Purchase
Sceti,KHC,"$1,329,680.00",$33.24,"40,000",Director,2020-12-02,2,Purchase
Sceti,KHC,"$1,659,950.00",$33.20,"50,000",Director,2020-12-02,2,Purchase
Sc,DASH,"$545,700.00",$102.00,"5,350",Large Shareholder,2020-12-11,3,Purchase
Sc,DASH,"$24,954,300.00",$102.00,"244,650",Large Shareholder,2020-12-11,3,Purchase
Sc,DASH,"$545,700.00",$102.00,"5,350",Large Shareholder,2020-12-11,3,Purchase
Sc,DASH,"$24,954,300.00",$102.00,"244,650",Large Shareholder,2020-12-11,3,Purchase
Sc,DASH,"$545,700.00",$102.00,"5,350",Large Shareholder,2020-12-11,3,Purchase
Sc,DASH,"$24,954,300.00",$102.00,"244,650",Large Shareholder,2020-12-11,3,Purchase
Savage,SNR,"$572,612.05",$6.40,"89,500",Director,2020-03-05,1,Purchase
Saunders,CRGS,"$3,000,000,000.00","$100,000.00","30,000",Director,2020-01-07,2,Purchase
Satter,ALRN,"$9,900,000.00",$1.10,"9,000,000","Officer, Director",2021-01-08,1,Purchase
Satter,ANNX,"$3,400,000.00",$17.00,"200,000",Director,2020-07-28,4,Purchase
Satter,ALRN,"$4,070,000.00",$1.10,"3,700,000","Large Shareholder, Director, Other",2020-06-08,1,Purchase
Sarofim,FLME,"$5,000,000.00",$10.00,"500,000",Director,2021-03-01,1,Purchase
Santi,ITW,"$998,046.00",$158.42,"6,300","Officer, Director",2020-05-06,1,Purchase
Sanofi,INZY,"$1,300,000.00",$16.00,"81,250",Large Shareholder,2020-07-28,15,Purchase
Sandell,MRKR,"$9,999,998.75",$1.75,"5,714,285",Large Shareholder,2021-03-16,13,Purchase
Sandell,RGLS,"$2,735,930.44",$0.62,"4,398,602",Large Shareholder,2020-12-04,10,Purchase
Sandell,EAR,"$5,599,998.00",$18.00,"311,111",Large Shareholder,2020-10-20,14,Purchase
Sandell,MTCR,"$9,999,990.00",$13.00,"769,230",Large Shareholder,2020-09-18,16,Purchase
Sandell,INZY,"$4,000,000.00",$16.00,"250,000",Large Shareholder,2020-07-28,15,Purchase
Sandell,GNCA,"$7,090,335.00",$2.25,"3,151,260",Large Shareholder,2020-07-24,11,Purchase
Sandell,NKTK,"$11,999,988.00",$18.00,"666,666",Large Shareholder,2020-07-14,7,Purchase
Sandell,AKUS,"$9,999,995.00",$17.00,"588,235",Large Shareholder,2020-06-30,19,Purchase
Sandell,AVEO,"$7,499,997.75",$5.25,"1,428,571",Large Shareholder,2020-06-19,7,Purchase
Sandell,ADAP,"$5,000,250.00",$0.67,"7,500,000",Large Shareholder,2020-01-24,6,Purchase
Sanchez,R,"$515,294.00",$39.64,"13,000","Officer, Director",2020-02-24,1,Purchase
Samueli,AVGO,"$36,773,923.00",$361.45,"101,740",Director,2020-09-18,1,Purchase
Sama,PLMI,"$3,000,000.00",$10.00,"300,000",Director,2021-03-16,1,Purchase
Saltchuk,OSG,"$1,508,708.48",$2.09,"720,216",,2021-04-05,1,Purchase
Saltchuk,OSG,"$2,062,284.51",$2.47,"834,933",,2020-07-23,1,Purchase
Saltchuk,OSG,"$3,366,791.25",$2.49,"1,352,125",,2020-07-22,1,Purchase
Saltchuk,OSG,"$7,046,690.00",$2.50,"2,818,676",,2020-03-09,1,Purchase
Saligram,NWL,"$508,343.50",$14.52,"35,000","Officer, Director",2020-03-05,3,Purchase
Salem,MGM,"$2,027,025.00",$10.40,"195,000",Director,2020-04-03,3,Purchase
Salem,MGM,"$1,978,758.60",$10.87,"182,000",Director,2020-04-01,3,Purchase
Salem,MGM,"$3,922,376.00",$11.54,"340,000",Director,2020-03-30,3,Purchase
Sagicor,PLYA,"$5,951,400.00",$3.97,"1,500,000",Large Shareholder,2020-06-15,1,Purchase
Sagan,MRNA,"$999,989.00",$19.00,"52,631",Director,2020-02-14,1,Purchase
Safra,RPLA,"$10,000,000.00",$10.00,"1,000,000","Large Shareholder, Officer",2021-04-01,1,Purchase
Sachs,VRTX,"$854,374.95",$218.79,"3,905",Director,2020-11-10,1,Purchase
Sachs,VRTX,"$928,682.30",$217.49,"4,270",Director,2020-11-10,1,Purchase
Sachs,VRTX,"$1,477,407.75",$216.47,"6,825",Director,2020-11-10,1,Purchase
Saba,GIM,"$504,356.88",$5.52,"91,369",Large Shareholder,2021-05-13,1,Purchase
Saba,GIM,"$515,945.38",$5.51,"93,638",Large Shareholder,2021-05-12,1,Purchase
Saba,VTA,"$549,500.00",$10.99,"50,000",Large Shareholder,2021-02-26,1,Purchase
Saba,VTA,"$2,409,441.45",$11.05,"218,049",Large Shareholder,2021-02-12,1,Purchase
Saba,VTA,"$664,849.86",$11.01,"60,386",Large Shareholder,2021-02-11,1,Purchase
Saba,VTA,"$1,218,590.80",$11.06,"110,180",Large Shareholder,2021-02-10,1,Purchase
Saba,GIM,"$1,933,555.94",$5.63,"343,438",Large Shareholder,2021-02-03,1,Purchase
Saba,GIM,"$1,534,479.02",$5.63,"272,554",Large Shareholder,2021-02-02,1,Purchase
Saba,GIM,"$1,989,782.85",$5.61,"354,685",Large Shareholder,2021-01-29,1,Purchase
Saba,GIM,"$2,952,387.72",$5.64,"523,473",Large Shareholder,2021-01-28,1,Purchase
Saba,GIM,"$1,978,121.98",$5.62,"351,979",Large Shareholder,2021-01-27,1,Purchase
Saba,GIM,"$676,364.04",$5.61,"120,564",Large Shareholder,2021-01-22,1,Purchase
Saba,GIM,"$1,086,136.80",$5.60,"193,953",Large Shareholder,2021-01-21,1,Purchase
Saba,GIM,"$1,262,615.20",$5.60,"225,467",Large Shareholder,2021-01-20,1,Purchase
Saba,GIM,"$997,620.30",$5.58,"178,785",Large Shareholder,2021-01-19,1,Purchase
Saba,GIM,"$1,059,916.80",$5.55,"190,976",Large Shareholder,2021-01-15,1,Purchase
Saba,GIM,"$1,537,250.00",$5.59,"275,000",Large Shareholder,2021-01-14,1,Purchase
Saba,VTA,"$1,351,552.62",$10.91,"123,882",Large Shareholder,2021-01-12,1,Purchase
Saba,GIM,"$1,111,998.00",$5.55,"200,360",Large Shareholder,2021-01-12,1,Purchase
Saba,EFT,"$882,580.42",$13.22,"66,761",Large Shareholder,2021-01-07,1,Purchase
Saba,FSLF,"$542,077.91",$13.97,"38,803",Large Shareholder,2021-01-06,1,Purchase
Saba,GIM,"$1,660,736.04",$5.51,"301,404",Large Shareholder,2021-01-05,1,Purchase
Saba,GIM,"$1,166,086.98",$5.49,"212,402",Large Shareholder,2021-01-04,1,Purchase
Saba,GIM,"$1,182,984.00",$5.50,"215,088",Large Shareholder,2020-12-31,1,Purchase
Saba,GIM,"$1,446,367.95",$5.49,"263,455",Large Shareholder,2020-12-30,1,Purchase
Saba,EFT,"$789,566.40",$13.23,"59,680",Large Shareholder,2020-12-30,1,Purchase
Saba,GIM,"$880,148.50",$5.50,"160,027",Large Shareholder,2020-12-29,1,Purchase
Saba,VTA,"$573,068.26",$10.51,"54,526",Large Shareholder,2020-12-28,1,Purchase
Saba,HIE,"$578,261.20",$7.60,"76,087",Large Shareholder,2020-12-28,1,Purchase
Saba,GIM,"$2,259,251.50",$5.50,"410,773",Large Shareholder,2020-12-28,1,Purchase
Saba,EFT,"$569,401.80",$13.31,"42,780",Large Shareholder,2020-12-28,1,Purchase
Saba,VTA,"$1,465,800.00",$10.47,"140,000",Large Shareholder,2020-12-23,1,Purchase
Saba,GIM,"$2,750,000.00",$5.50,"500,000",Large Shareholder,2020-12-23,1,Purchase
Saba,FSLF,"$888,875.52",$13.92,"63,856",Large Shareholder,2020-12-23,1,Purchase
Saba,EFT,"$729,292.20",$13.30,"54,834",Large Shareholder,2020-12-23,1,Purchase
Saba,GIM,"$4,429,400.84",$5.51,"803,884",Large Shareholder,2020-12-22,1,Purchase
Saba,GIM,"$2,366,781.93",$5.51,"429,543",Large Shareholder,2020-12-21,1,Purchase
Saba,VTA,"$577,116.80",$10.40,"55,492",Large Shareholder,2020-12-18,1,Purchase
Saba,VTA,"$1,196,279.28",$10.43,"114,696",Large Shareholder,2020-12-17,1,Purchase
Saba,EFT,"$1,296,244.60",$13.30,"97,462",Large Shareholder,2020-12-17,1,Purchase
Saba,VTA,"$2,084,427.90",$10.35,"201,394",Large Shareholder,2020-12-16,1,Purchase
Saba,EFT,"$6,826,453.00",$13.25,"515,204",Large Shareholder,2020-12-16,1,Purchase
Saba,GIM,"$783,294.72",$5.44,"143,988",Large Shareholder,2020-12-15,1,Purchase
Saba,VTA,"$1,243,170.68",$10.28,"120,931",Large Shareholder,2020-12-14,1,Purchase
Saba,GIM,"$1,932,235.42",$5.42,"356,501",Large Shareholder,2020-12-14,1,Purchase
Saba,VTA,"$679,021.59",$10.27,"66,117",Large Shareholder,2020-12-11,1,Purchase
Saba,GIM,"$1,255,743.54",$5.42,"231,687",Large Shareholder,2020-12-11,1,Purchase
Saba,GIM,"$2,525,220.80",$5.44,"464,195",Large Shareholder,2020-12-10,1,Purchase
Saba,GIM,"$2,782,383.05",$5.45,"510,529",Large Shareholder,2020-12-09,1,Purchase
Saba,GIM,"$5,460,000.00",$5.46,"1,000,000",Large Shareholder,2020-12-08,1,Purchase
Saba,GIM,"$2,374,718.19",$5.43,"437,333",Large Shareholder,2020-12-07,1,Purchase
Saba,GIM,"$4,201,747.55",$5.39,"779,545",Large Shareholder,2020-12-01,1,Purchase
Saba,GIM,"$602,635.32",$5.38,"112,014",Large Shareholder,2020-11-30,1,Purchase
Saba,VTA,"$1,008,585.14",$9.97,"101,162",Large Shareholder,2020-11-20,1,Purchase
Saba,VTA,"$2,721,783.21",$9.93,"274,097",Large Shareholder,2020-11-19,1,Purchase
Saba,VTA,"$712,656.00",$9.80,"72,720",Large Shareholder,2020-11-17,1,Purchase
Saba,VTA,"$771,097.32",$9.72,"79,331",Large Shareholder,2020-11-10,1,Purchase
Saba,VTA,"$787,060.14",$9.33,"84,358",Large Shareholder,2020-11-03,1,Purchase
Saba,VTA,"$4,703,801.94",$9.27,"507,422",Large Shareholder,2020-11-02,1,Purchase
Saba,HIE,"$611,550.14",$6.14,"99,601",Large Shareholder,2020-10-27,1,Purchase
Saba,EFT,"$1,432,914.86",$12.79,"112,034",Large Shareholder,2020-10-27,1,Purchase
Saba,EFT,"$3,025,704.59",$12.73,"237,683",Large Shareholder,2020-10-26,1,Purchase
Saba,EFT,"$3,186,884.70",$12.78,"249,365",Large Shareholder,2020-10-22,1,Purchase
Saba,EFT,"$3,537,290.00",$12.77,"277,000",Large Shareholder,2020-10-20,1,Purchase
Saba,VTA,"$3,593,884.32",$9.36,"383,962",Large Shareholder,2020-10-20,1,Purchase
Saba,VTA,"$2,037,147.40",$9.34,"218,110",Large Shareholder,2020-10-19,1,Purchase
Saba,VTA,"$1,684,271.60",$9.35,"180,136",Large Shareholder,2020-10-16,1,Purchase
Saba,EFT,"$500,100.37",$12.71,"39,347",Large Shareholder,2020-10-16,1,Purchase
Saba,EFT,"$1,651,115.65",$12.55,"131,563",Large Shareholder,2020-10-13,1,Purchase
Saba,JRO,"$1,063,696.62",$8.31,"128,002",Large Shareholder,2020-10-05,1,Purchase
Saba,JRO,"$509,640.00",$8.22,"62,000",Large Shareholder,2020-09-30,1,Purchase
Saba,JFR,"$2,904,593.30",$8.30,"349,951",Large Shareholder,2020-09-29,1,Purchase
Saba,JFR,"$1,147,660.98",$8.27,"138,774",Large Shareholder,2020-09-25,1,Purchase
Saba,JFR,"$1,711,498.46",$8.33,"205,462",Large Shareholder,2020-09-23,1,Purchase
Saba,JFR,"$802,741.59",$8.37,"95,907",Large Shareholder,2020-09-22,1,Purchase
Saba,EVF,"$911,964.48",$5.88,"155,096",Large Shareholder,2020-08-21,1,Purchase
Saba,EVF,"$1,460,000.00",$5.84,"250,000",Large Shareholder,2020-08-18,1,Purchase
Saba,EVF,"$2,326,640.74",$5.78,"402,533",Large Shareholder,2020-08-04,1,Purchase
Saba,EVF,"$1,172,062.75",$5.75,"203,837",Large Shareholder,2020-08-03,1,Purchase
Saba,EVF,"$2,224,086.46",$5.63,"395,042",Large Shareholder,2020-07-30,1,Purchase
Saba,EVF,"$535,150.80",$5.40,"99,102",Large Shareholder,2020-07-21,1,Purchase
Saba,PHD,"$2,958,978.24",$9.76,"303,174",Large Shareholder,2020-06-17,1,Purchase
Saba,PHD,"$2,366,042.40",$9.72,"243,420",Large Shareholder,2020-06-16,1,Purchase
Saba,PHD,"$6,400,270.10",$9.59,"667,390",Large Shareholder,2020-06-15,1,Purchase
Saba,PHD,"$1,459,356.36",$9.46,"154,266",Large Shareholder,2020-06-12,1,Purchase
Saba,PHD,"$2,109,829.54",$9.62,"219,317",Large Shareholder,2020-06-10,1,Purchase
Saba,PHD,"$1,397,559.14",$9.58,"145,883",Large Shareholder,2020-06-09,1,Purchase
Saba,PHD,"$1,646,317.12",$9.44,"174,398",Large Shareholder,2020-06-05,1,Purchase
Saba,EVF,"$1,538,166.09",$5.51,"279,159",Large Shareholder,2020-06-05,1,Purchase
Saba,EVF,"$506,059.75",$5.45,"92,855",Large Shareholder,2020-06-04,1,Purchase
Saba,PHD,"$930,000.00",$9.30,"100,000",Large Shareholder,2020-06-03,1,Purchase
Saba,EVF,"$1,542,266.42",$5.42,"284,551",Large Shareholder,2020-06-03,1,Purchase
Saba,PHD,"$776,493.20",$9.16,"84,770",Large Shareholder,2020-06-02,1,Purchase
Saba,PHD,"$577,541.32",$9.07,"63,676",Large Shareholder,2020-06-01,1,Purchase
Saba,EVF,"$893,611.04",$5.32,"167,972",Large Shareholder,2020-06-01,1,Purchase
Saba,EVF,"$907,964.55",$5.19,"174,945",Large Shareholder,2020-05-27,1,Purchase
Saba,NHS,"$743,509.05",$10.05,"73,981",Large Shareholder,2020-05-20,2,Purchase
Saba,PHD,"$520,276.13",$8.57,"60,709",Large Shareholder,2020-05-19,1,Purchase
Saba,EVF,"$870,214.80",$5.07,"171,640",Large Shareholder,2020-05-19,1,Purchase
Saba,EVF,"$573,105.00",$5.00,"114,621",Large Shareholder,2020-05-15,1,Purchase
Saba,PHD,"$1,128,365.76",$8.48,"133,062",Large Shareholder,2020-05-13,1,Purchase
Saba,EVF,"$1,224,378.32",$5.06,"241,972",Large Shareholder,2020-05-11,1,Purchase
Saba,NHS,"$948,192.00",$9.96,"95,200",Large Shareholder,2020-05-08,2,Purchase
Saba,NHS,"$590,626.40",$9.88,"59,780",Large Shareholder,2020-05-07,2,Purchase
Saba,EVF,"$831,356.25",$5.05,"164,625",Large Shareholder,2020-05-07,1,Purchase
Saba,BQH,"$710,996.00",$14.69,"48,400",Large Shareholder,2020-04-23,1,Purchase
Saba,EHI,"$807,750.46",$8.18,"98,747",Large Shareholder,2020-04-22,1,Purchase
Saba,PPR,"$844,314.42",$3.94,"214,293",Large Shareholder,2020-04-21,1,Purchase
Saba,PHD,"$543,650.80",$8.36,"65,030",Large Shareholder,2020-04-16,1,Purchase
Saba,EHI,"$1,012,068.80",$8.30,"121,936",Large Shareholder,2020-04-16,1,Purchase
Saba,EHI,"$556,832.64",$8.32,"66,927",Large Shareholder,2020-04-15,1,Purchase
Saba,PHD,"$821,805.60",$8.40,"97,834",Large Shareholder,2020-04-13,1,Purchase
Saba,EHI,"$837,417.34",$8.41,"99,574",Large Shareholder,2020-04-09,1,Purchase
Saba,PHD,"$577,642.18",$8.09,"71,402",Large Shareholder,2020-04-07,1,Purchase
Saba,VTA,"$1,198,309.65",$7.05,"169,973",Large Shareholder,2020-03-23,1,Purchase
Saba,PPR,"$942,000.00",$3.14,"300,000",Large Shareholder,2020-03-23,1,Purchase
Saba,HIO,"$555,000.00",$3.70,"150,000",Large Shareholder,2020-03-20,1,Purchase
Saba,NHS,"$688,629.76",$8.32,"82,768",Large Shareholder,2020-03-18,2,Purchase
Saba,EHI,"$504,748.02",$7.14,"70,693",Large Shareholder,2020-03-18,1,Purchase
Saba,PHD,"$836,019.35",$8.11,"103,085",Large Shareholder,2020-03-16,1,Purchase
Saba,PHD,"$895,437.00",$9.00,"99,493",Large Shareholder,2020-03-13,1,Purchase
Saba,PPR,"$910,307.46",$4.11,"221,486",Large Shareholder,2020-03-12,1,Purchase
Saba,EHI,"$739,602.64",$8.27,"89,432",Large Shareholder,2020-03-12,1,Purchase
Saba,PHD,"$681,230.20",$10.60,"64,267",Large Shareholder,2020-03-05,1,Purchase
Saba,NHS,"$620,932.14",$11.79,"52,666",Large Shareholder,2020-03-05,2,Purchase
Saba,PHD,"$559,492.30",$10.70,"52,289",Large Shareholder,2020-03-04,1,Purchase
Saba,NHS,"$927,803.08",$11.98,"77,446",Large Shareholder,2020-03-04,2,Purchase
Saba,PHD,"$875,406.60",$10.62,"82,430",Large Shareholder,2020-03-03,1,Purchase
Saba,EHI,"$3,242,554.50",$10.10,"321,045",Large Shareholder,2020-03-03,1,Purchase
Saba,PPR,"$1,702,743.20",$4.96,"343,295",Large Shareholder,2020-03-02,1,Purchase
Saba,NHS,"$1,247,344.74",$11.73,"106,338",Large Shareholder,2020-03-02,2,Purchase
Saba,EHI,"$2,517,399.48",$10.04,"250,737",Large Shareholder,2020-03-02,1,Purchase
Saba,PPR,"$995,131.20",$4.90,"203,088",Large Shareholder,2020-02-28,1,Purchase
Saba,PHD,"$667,071.51",$10.43,"63,957",Large Shareholder,2020-02-28,1,Purchase
Saba,EHI,"$3,239,650.62",$9.74,"332,613",Large Shareholder,2020-02-28,1,Purchase
Saba,EHI,"$937,727.24",$10.21,"91,844",Large Shareholder,2020-02-26,1,Purchase
Saba,PPR,"$697,026.25",$5.05,"138,025",Large Shareholder,2020-02-25,1,Purchase
Saba,HIO,"$718,310.60",$5.18,"138,670",Large Shareholder,2020-02-25,1,Purchase
Saba,EHI,"$806,127.08",$10.34,"77,962",Large Shareholder,2020-02-25,1,Purchase
Saba,HIO,"$672,105.00",$5.25,"128,020",Large Shareholder,2020-02-21,1,Purchase
Saba,HIO,"$1,512,246.75",$5.25,"288,047",Large Shareholder,2020-02-20,1,Purchase
Saba,EHI,"$1,925,913.60",$10.40,"185,184",Large Shareholder,2020-02-20,1,Purchase
Saba,HIO,"$7,603,435.20",$5.26,"1,445,520",Large Shareholder,2020-02-19,1,Purchase
Saba,EHI,"$2,097,543.59",$10.39,"201,881",Large Shareholder,2020-02-19,1,Purchase
Saba,PPR,"$3,744,824.02",$5.18,"722,939",Large Shareholder,2020-02-18,1,Purchase
Saba,PPR,"$558,385.85",$5.17,"108,005",Large Shareholder,2020-02-14,1,Purchase
Saba,PPR,"$517,000.00",$5.17,"100,000",Large Shareholder,2020-02-12,1,Purchase
Saba,PPR,"$866,734.99",$5.17,"167,647",Large Shareholder,2020-02-10,1,Purchase
Saba,PPR,"$1,599,590.00",$5.15,"310,600",Large Shareholder,2020-02-07,1,Purchase
Saba,PPR,"$682,477.08",$5.16,"132,263",Large Shareholder,2020-02-06,1,Purchase
Saba,PPR,"$841,415.40",$5.16,"163,065",Large Shareholder,2020-02-05,1,Purchase
Saba,PPR,"$6,290,974.50",$5.14,"1,223,925",Large Shareholder,2020-01-30,1,Purchase
Saba,PPR,"$512,000.00",$5.12,"100,000",Large Shareholder,2020-01-29,1,Purchase
Saba,PPR,"$2,465,858.56",$5.12,"481,613",Large Shareholder,2020-01-28,1,Purchase
